DEPARTURE_ARRIVAL_DURATION,ARRIVAL_DEPARTURE_DURATION,STOPOVERS,VESSEL_TYPE,HULL_MATERIAL,VESSEL_LENGTH,VESSEL_BEAN,VESSEL_DRAFT,VESSEL_DEPTH,MOTOR_POWER,SPEED,NUM_PROPELLERS,NUM_GENERATORS,TPB,LIGHT_DISPLACEMENT,CREW,PASS_CAPACITY,LOAD_CAPACITY,FUEL_CONSUMPTION
21600.0,21600.0,0,PASSENGER/GENERAL_LOAD,WOOD,27.0,6.5,1.8,3.0,420.0,11.6,1,1.0,,,4,231.0,80.0,400.0
6000.0,6000.0,0,MOTORBOAT,ALUMINIUM,19.92,4.0,0.75,1.35,580.0,20.0,2,1.0,,,4,95.0,11.0,200.0
21600.0,21600.0,1,PASSENGER/GENERAL_LOAD,WOOD,13.0,4.0,1.5,2.5,280.0,15.0,2,1.0,,,4,98.0,138.0,700.0
9000.0,9000.0,0,MOTORBOAT,ALUMINIUM,20.0,3.5,0.57,1.6,800.0,21.0,2,1.0,,,4,90.0,11.0,400.0
10800.0,10800.0,0,PASSENGER/GENERAL_LOAD,WOOD,23.5,5.6,1.4,1.75,470.0,17.0,1,1.0,,,5,176.0,100.0,440.0
10800.0,10800.0,0,PASSENGER/GENERAL_LOAD,WOOD,26.28,8.9,2.2,2.5,420.0,20.0,1,1.0,,,4,205.0,151.0,600.0
54000.0,54000.0,0,OTHER,WOOD,20.8,4.85,1.5,1.8,180.0,10.0,1,1.0,,,3,15.0,45.0,700.0
18000.0,18000.0,1,MOTORBOAT,ALUMINIUM,20.0,3.75,0.6,1.25,448.0,20.0,2,0.0,,,3,105.0,0.0,700.0
18000.0,18000.0,0,PASSENGER/GENERAL_LOAD,WOOD,23.27,5.2,1.7,1.8,375.0,17.0,3,2.0,,,5,72.0,47.0,700.0
21600.0,21600.0,0,PASSENGER/GENERAL_LOAD,WOOD,23.0,5.25,1.8,1.9,180.0,26.0,1,1.0,,,4,90.0,110.0,400.0
21600.0,21600.0,1,PASSENGER/GENERAL_LOAD,WOOD,16.0,4.5,2.0,4.0,280.0,12.0,2,1.0,,,4,98.0,98.0,600.0
9000.0,9000.0,0,PASSENGERS,ALUMINIUM,24.0,3.0,1.2,1.2,300.0,20.0,2,0.0,,,3,99.0,0.0,240.0
14400.0,14400.0,1,PASSENGER/GENERAL_LOAD,WOOD,21.0,5.0,1.5,2.2,190.0,20.0,1,2.0,,,4,60.0,15.0,500.0
50400.0,50400.0,2,PASSENGER/GENERAL_LOAD,WOOD,19.0,5.0,1.5,1.8,270.0,10.0,1,2.0,,,5,60.0,40.0,800.0
2280.0,2280.0,4,FERRY_BOAT,NAVAL_STEEL,49.0,12.0,1.7,2.1,315.0,13.0,2,2.0,,,8,360.0,386.0,2200.0
2280.0,2280.0,0,FERRY_BOAT,NAVAL_STEEL,58.0,7.5,1.5,1.95,315.0,10.0,1,1.0,,,6,12.0,280.0,2200.0
39600.0,39600.0,0,PASSENGER/GENERAL_LOAD,WOOD,17.8,4.7,0.7,1.5,180.0,11.0,1,1.0,,,4,35.0,52.0,360.0
57600.0,57600.0,0,PASSENGER/GENERAL_LOAD,WOOD,21.0,4.0,0.9,1.4,130.0,10.0,1,1.0,,,4,40.0,28.0,500.0
43200.0,43200.0,0,PASSENGER/GENERAL_LOAD,WOOD,19.0,4.5,1.0,1.8,240.0,14.0,1,2.0,,,3,60.0,12.0,460.0
43200.0,43200.0,0,PASSENGER/GENERAL_LOAD,WOOD,20.0,5.2,1.7,2.3,280.0,14.0,1,1.0,,,4,100.0,88.0,450.0
28800.0,28800.0,0,PASSENGER/GENERAL_LOAD,WOOD,16.5,4.3,0.7,1.17,114.0,8.0,1,1.0,,,3,35.0,90.0,280.0
