Name,MAE,RMSE,MAPE,SMAPE
2_29,8.553,10.746,9.700000000000001,9.5
2_30,7.318,8.904,14.799999999999999,14.000000000000002
2_31,8.149,10.212,10.6,10.6
2_32,8.304,10.325,13.8,13.600000000000001
2_33,9.181,12.078,10.6,10.299999999999999
2_34,5.216,6.416,15.7,15.2
2_35,8.561,10.489,10.299999999999999,9.9
2_36,10.826,13.361,10.8,10.7
2_37,5.609,7.206,15.6,14.7
2_38,10.032,11.995,9.5,9.6
2_39,5.814,7.611,10.5,10.5
2_40,5.371,6.714,15.1,14.299999999999999
2_41,4.538,5.783,16.6,16.1
2_42,5.039,6.735,10.5,10.5
2_43,7.077,9.189,10.2,10.4
2_44,5.153,6.571,13.700000000000001,13.200000000000001
2_45,11.012,13.13,10.4,10.5
2_46,7.419,8.95,9.5,9.5
2_47,5.038,6.292,18.7,17.2
2_48,6.998,8.637,10.4,10.4
2_49,4.862,6.359,12.5,12.6
2_50,9.468,11.278,11.0,11.0
3_1,3.713,4.688,14.399999999999999,14.2
3_2,6.239,7.754,9.4,9.3
3_3,6.832,8.23,16.5,16.1
3_4,4.287,5.282,17.599999999999998,16.5
3_5,3.914,4.662,18.9,18.4
3_6,6.913,8.428,10.4,10.299999999999999
3_7,6.815,8.488,10.0,10.100000000000001
3_8,8.22,10.608,9.0,9.1
3_9,5.937,7.72,10.6,10.2
3_10,9.755,11.592,11.4,11.5
3_11,8.725,10.535,10.7,10.8
3_12,8.355,10.393,10.4,10.4
3_13,9.354,11.894,9.8,9.8
3_14,7.067,9.065,10.299999999999999,10.4
3_15,9.798,12.37,9.5,9.6
3_16,4.025,5.018,14.000000000000002,13.5
3_17,5.304,6.638,13.600000000000001,13.600000000000001
3_18,9.497,12.449,9.5,9.6
3_19,6.484,7.862,14.399999999999999,13.700000000000001
3_20,7.212,9.128,13.0,13.100000000000001
3_21,5.619,7.155,12.5,12.0
3_22,8.805,10.81,9.3,9.3
3_23,4.764,6.211,15.8,14.7
3_24,10.098,12.839,13.100000000000001,13.200000000000001
3_25,8.232,10.094,9.1,9.0
3_26,6.708,8.489,12.8,12.1
3_27,4.167,5.512,17.5,16.3
3_28,9.756,12.548,9.8,9.8
3_29,8.804,11.292,10.5,10.7
3_30,6.395,7.85,13.700000000000001,13.5
3_31,7.327,8.99,11.4,10.9
3_32,6.986,9.066,13.3,13.4
3_33,8.253,9.727,10.2,10.299999999999999
